  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 15:54:10	   0.003	 -10.000	  107.28	 1025.82	   13.98	   425.4	   978.7	   414.9	  -248.7	   226.4	  -493.2	 244.987	   1.245	   250.3	    20.1	  230790	   41.60	   41.60	    0.25	    0.28	    0.00	  15.809	  15.523	  28.485	  29.641	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 15:55:37	   0.003	   1.995	  107.19	 1025.85	   13.98	   363.7	  -280.7	   -10.8	   117.2	   283.7	   175.0	 242.998	   1.245	   250.1	    20.0	  230690	   41.60	   41.60	    0.21	    0.15	    0.00	  15.625	  15.401	  28.322	  29.088	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 15:56:44	   0.003	  -7.000	  106.56	 1025.86	   13.98	   442.4	   603.9	   279.8	  -138.3	   263.7	  -314.7	 243.978	   1.245	   248.6	    20.0	  230010	   41.60	   41.60	    0.21	    0.24	    0.00	  15.511	  15.345	  28.351	  29.411	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 15:58:00	   0.003	   9.995	  106.30	 1025.85	   14.01	   389.3	  -947.4	  -240.9	   377.3	   258.5	   496.8	 243.929	   1.244	   248.0	    20.0	  229703	   41.60	   41.60	    0.30	    0.24	    0.00	  15.429	  15.278	  28.703	  29.391	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 15:58:30	   0.003	   7.005	  106.68	 1025.85	   14.02	   415.3	  -537.5	  -119.2	   238.1	   290.4	   294.2	 243.952	   1.244	   248.9	    20.0	  230108	   41.60	   41.60	    0.24	    0.21	    0.00	  15.390	  15.274	  28.489	  29.231	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 15:59:14	   0.003	  -1.995	  106.94	 1025.85	   14.00	   368.2	   341.9	   153.4	   -36.5	   270.2	  -202.1	 243.003	   1.245	   249.5	    20.0	  230402	   41.60	   41.60	    0.20	    0.20	    0.00	  15.350	  15.267	  28.265	  29.242	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 16:01:20	   0.003	   9.995	  106.38	 1025.86	   14.02	   317.1	  -975.9	  -226.4	   396.8	   187.7	   525.0	 243.986	   1.244	   248.2	    20.0	  229783	   41.60	   49.12	    0.30	    0.75	    0.00	  15.374	  15.259	  28.692	  31.933	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 16:02:21	   0.003	  -7.000	  106.64	 1025.86	   14.02	   365.5	   595.6	   293.5	  -124.5	   198.7	  -298.0	 244.019	   1.244	   248.8	    20.0	  230062	   41.60	   49.11	    0.21	    0.76	    0.00	  15.401	  15.262	  28.351	  31.954	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 16:03:00	   0.003	 -10.005	  107.27	 1025.86	   14.02	   356.1	   960.3	   427.6	  -234.7	   164.7	  -471.8	 245.003	   1.244	   250.3	    20.1	  230740	   41.60	   49.13	    0.24	    0.78	    0.00	  15.438	  15.267	  28.465	  32.009	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 16:04:03	   0.003	   7.000	  106.95	 1025.85	   14.02	   203.4	 -1172.5	  -215.6	   396.2	   148.3	   674.8	 243.999	   1.244	   249.5	    20.0	  230390	   41.60	   49.12	    0.25	    0.73	    0.00	  15.496	  15.264	  28.505	  31.844	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 16:04:45	   0.003	   2.000	  107.18	 1025.84	   14.04	   289.6	  -307.5	     3.7	   136.4	   210.8	   202.1	 242.975	   1.244	   250.0	    20.0	  230617	   41.60	   49.12	    0.21	    0.74	    0.00	  15.507	  15.269	  28.325	  31.854	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 16:05:12	   0.003	  -1.995	  107.07	 1025.84	   14.03	   292.0	   310.4	   165.3	   -20.0	   203.9	  -170.5	 242.984	   1.244	   249.8	    20.0	  230506	   41.60	   49.12	    0.20	    0.73	    0.00	  15.516	  15.275	  28.271	  31.956	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      13	 16:07:50	   4.998	   6.995	  424.09	 1025.81	   14.69	  1103.8	 -4014.1	   264.1	  2330.3	   392.2	  2230.0	 473.994	   1.242	   994.0	    40.0	  458500	   78.50	   98.24	    0.55	    5.18	    0.00	  16.592	  15.845	  30.559	  37.527	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      14	 16:09:01	   0.001	  -9.995	  424.92	 1025.82	   14.80	   448.4	  6289.8	  2351.7	 -1331.5	    71.2	 -3242.1	 474.001	   1.241	   996.0	    40.1	  458732	   78.49	   98.24	    0.38	    5.63	    0.00	  17.246	  16.076	  30.244	  37.829	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      15	 16:09:53	   0.001	  -2.005	  423.61	 1025.82	   14.89	  1094.4	  1261.0	   671.0	   -86.7	   742.4	  -693.0	 470.014	   1.241	   992.9	    40.0	  457829	   78.50	   98.24	    0.00	    5.29	    0.00	  17.710	  16.232	  24.348	  37.519	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      16	 16:10:49	   4.999	  -7.000	  423.56	 1025.81	   14.96	  1141.7	  3983.7	  2487.9	   196.3	   299.5	 -2000.4	 473.994	   1.240	   992.8	    40.0	  457657	   78.50	   98.24	    0.00	    5.57	    0.00	  18.078	  16.361	  24.364	  37.713	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      17	 16:11:45	   0.002	   2.000	  423.33	 1025.80	   15.01	  1074.8	 -1192.6	    16.4	   547.5	   752.9	   772.0	 469.973	   1.240	   992.2	    40.0	  457426	   78.49	   98.24	    0.00	    5.22	    0.00	  18.400	  16.466	  24.534	  37.387	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      18	 16:12:26	   0.002	  10.000	  423.40	 1025.80	   15.11	   508.3	 -6014.1	 -1249.9	  2109.4	   267.8	  3256.5	 473.035	   1.240	   992.4	    40.0	  457269	   78.50	   98.24	    0.79	    5.24	    0.00	  18.584	  16.541	  30.881	  37.377	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      19	 16:13:28	   0.002	  -7.000	  422.38	 1025.81	   15.16	   755.7	  4687.8	  1754.0	  -917.0	   375.7	 -2473.4	 471.945	   1.240	   990.0	    40.0	  456617	   78.49	   98.24	    0.00	    5.49	    0.00	  18.738	  16.641	  24.963	  37.537	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      20	 16:14:23	   0.002	   7.000	  423.24	 1025.80	   15.22	   756.5	 -4573.5	  -836.1	  1558.0	   497.8	  2591.3	 471.966	   1.239	   992.0	    40.0	  456954	   78.49	   98.24	    0.34	    5.16	    0.00	  18.940	  16.715	  30.159	  37.274	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      21	 16:15:51	   0.002	  -9.995	  423.15	 1025.84	   15.27	   851.4	  6410.3	  2270.4	 -1414.1	   423.9	 -3384.0	 473.986	   1.239	   991.8	    40.0	  456810	   78.50	   78.50	    0.38	    0.77	    0.00	  18.772	  16.835	  30.235	  35.442	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      22	 16:16:38	   0.002	   2.000	  423.91	 1025.85	   15.32	  1567.9	  -942.8	   -47.8	   407.0	  1193.9	   570.8	 470.975	   1.239	   993.6	    40.1	  457127	   78.50	   78.50	    0.00	    0.00	    0.00	  18.538	  16.878	  24.415	  28.299	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      23	 16:17:21	   0.002	  -7.000	  423.25	 1025.85	   15.36	  1187.7	  4876.8	  1690.8	 -1020.8	   751.8	 -2653.0	 473.001	   1.239	   992.1	    40.0	  456689	   78.50	   78.50	    0.00	    0.40	    0.00	  18.324	  16.924	  24.878	  34.766	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      24	 16:18:24	   0.002	  10.000	  422.24	 1025.83	   15.40	   926.2	 -5849.5	 -1327.3	  1998.9	   655.9	  3102.1	 473.026	   1.238	   989.7	    40.0	  456052	   78.50	   78.49	    0.76	    0.32	    0.00	  18.107	  16.983	  30.823	  34.587	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      25	 16:19:01	   0.002	   7.000	  422.27	 1025.81	   15.42	  1203.9	 -4378.5	  -916.2	  1437.3	   912.0	  2411.7	 471.969	   1.238	   989.8	    40.0	  456030	   78.50	   78.72	    0.31	    0.00	    0.00	  17.987	  17.014	  30.116	  30.184	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      26	 16:19:49	   0.002	  -1.995	  423.82	 1025.80	   15.44	  1568.0	  1453.2	   598.2	  -197.8	  1145.9	  -879.1	 470.993	   1.238	   993.4	    40.1	  456834	   78.50	   78.50	    0.00	    0.00	    0.00	  17.870	  17.055	  24.214	  28.940	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
