  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
      27	 16:21:01	   5.000	   6.995	  422.71	 1025.81	   15.48	  1135.4	 -3790.9	   214.9	  2280.6	   509.4	  1974.8	 474.015	   1.238	   990.8	    40.0	  456146	   98.24	   78.50	    7.15	    0.00	    0.00	  17.784	  17.348	  27.231	  28.724	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      28	 16:22:03	   0.001	  -9.995	  422.88	 1025.81	   15.42	   423.0	  6509.1	  2327.1	 -1393.5	   152.0	 -3498.4	 473.982	   1.238	   991.2	    40.0	  456359	   98.24	   78.50	    6.88	    0.78	    0.00	  17.685	  17.737	  27.140	  35.593	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      29	 16:22:52	   0.001	  -2.000	  422.04	 1025.82	   15.50	  1079.4	  1553.2	   665.8	  -156.7	   817.6	  -997.6	 469.998	   1.238	   989.2	    40.0	  455743	   98.24	   78.50	    6.76	    0.00	    0.00	  17.678	  17.972	  27.081	  29.175	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      30	 16:23:38	   4.999	  -7.000	  422.54	 1025.83	   15.51	  1097.7	  4213.5	  2451.8	   139.3	   377.8	 -2268.4	 474.050	   1.238	   990.4	    40.0	  456006	   98.24	   78.50	    6.69	    0.59	    0.00	  17.653	  18.145	  27.055	  35.241	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      31	 16:24:44	   0.008	   2.000	  422.26	 1025.84	   15.51	  1089.2	  -840.0	    13.6	   460.9	   852.7	   428.5	 469.988	   1.238	   989.7	    40.0	  455850	   98.24	   78.50	    6.85	    0.00	    0.00	  17.632	  18.319	  27.105	  28.507	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      32	 16:25:28	   0.002	  10.000	  421.81	 1025.83	   15.60	   505.1	 -5773.3	 -1274.2	  2048.9	   356.4	  2995.5	 473.000	   1.238	   988.7	    40.0	  455422	   98.24	   78.50	    7.38	    0.33	    0.00	  17.659	  18.443	  27.307	  34.738	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      33	 16:26:28	   0.002	  -7.000	  422.83	 1025.85	   15.62	   736.1	  4974.2	  1750.0	  -991.6	   457.0	 -2771.7	 472.963	   1.238	   991.1	    40.0	  455935	   98.24	   78.50	    6.72	    0.42	    0.00	  17.636	  18.599	  27.049	  34.973	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      34	 16:27:20	   0.002	   7.000	  423.24	 1025.84	   15.65	   773.7	 -4289.7	  -856.4	  1487.6	   608.9	  2297.3	 472.992	   1.237	   992.0	    40.0	  456099	   98.24	   78.49	    7.07	    0.00	    0.00	  17.658	  18.656	  27.173	  29.193	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      35	 16:27:54	   5.000	   7.000	  421.71	 1025.84	   15.68	   674.2	 -3909.5	   325.2	  2375.3	    79.2	  2108.9	 473.023	   1.237	   988.4	    40.0	  455212	   98.24	   98.24	    7.21	    6.11	    0.00	  17.700	  18.703	  27.248	  32.038	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      36	 16:29:05	   0.003	  -9.995	  422.22	 1025.87	   15.67	     9.6	  6368.1	  2403.3	 -1308.3	  -211.1	 -3347.9	 473.004	   1.237	   989.6	    40.0	  455512	   98.24	   98.24	    6.93	    6.64	    0.00	  18.091	  18.798	  27.139	  32.355	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      37	 16:29:46	   0.003	  -2.000	  423.08	 1025.88	   15.68	   619.1	  1380.8	   745.4	   -54.2	   418.0	  -815.3	 469.979	   1.237	   991.7	    40.0	  455955	   98.24	   98.24	    6.77	    6.18	    0.00	  18.409	  18.832	  27.072	  32.093	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      38	 16:30:41	   4.992	  -7.000	  423.11	 1025.89	   15.68	   683.5	  4043.9	  2531.7	   237.9	     7.6	 -2105.9	 474.020	   1.237	   991.7	    40.0	  455971	   98.24	   98.24	    6.70	    6.51	    0.00	  18.745	  18.867	  27.046	  32.282	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      39	 16:31:29	   0.002	   2.000	  423.44	 1025.90	   15.68	   615.4	 -1076.5	    83.7	   592.6	   426.3	   633.2	 469.978	   1.237	   992.5	    40.1	  456156	   98.24	   98.24	    6.86	    6.08	    0.00	  19.000	  18.879	  27.100	  32.023	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      40	 16:32:15	   0.002	  10.000	  422.84	 1025.91	   15.76	    84.8	 -5940.9	 -1196.5	  2158.5	   -34.4	  3150.4	 473.017	   1.237	   991.1	    40.0	  455672	   98.40	   98.24	    7.69	    6.13	    0.00	  19.176	  18.923	  26.607	  32.052	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      41	 16:33:10	   0.002	  -7.000	  422.36	 1025.90	   15.78	   310.5	  4778.2	  1810.7	  -889.7	    87.2	 -2588.4	 471.999	   1.237	   990.0	    40.0	  455375	   98.24	   98.24	    6.97	    6.41	    0.00	  19.289	  18.993	  26.147	  32.209	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      42	 16:34:01	   0.002	   7.000	  422.85	 1025.90	   15.81	   320.7	 -4466.9	  -769.8	  1602.5	   186.4	  2467.2	 471.952	   1.237	   991.1	    40.0	  455578	   98.24	   98.24	    7.34	    6.04	    0.00	  19.448	  19.010	  26.273	  31.965	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      43	 16:36:19	   0.002	   7.000	  238.44	 1025.89	   15.54	   441.8	 -2632.8	  -489.1	   880.0	   304.3	  1494.3	 358.018	   1.238	   557.1	    30.0	  341955	   60.20	   73.68	    0.43	    2.60	    0.00	  19.189	  18.475	  18.189	  29.983	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      44	 16:37:05	   0.002	   2.000	  238.88	 1025.89	   15.50	   655.0	  -662.5	     3.5	   288.6	   464.3	   439.3	 357.039	   1.238	   558.1	    30.0	  342328	   60.20	   73.69	    0.00	    2.58	    0.00	  18.979	  18.137	  17.748	  29.956	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      45	 16:37:41	   0.002	  10.000	  238.65	 1025.88	   15.46	   239.4	 -3664.5	  -763.6	  1239.2	   142.2	  2000.8	 358.998	   1.238	   557.6	    30.0	  342225	   60.20	   73.68	    0.81	    2.65	    0.00	  18.861	  17.923	  18.543	  30.071	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      46	 16:38:16	   0.002	   7.000	  238.54	 1025.87	   15.44	   444.6	 -2628.3	  -487.1	   879.5	   302.1	  1490.8	 357.999	   1.238	   557.3	    30.0	  342171	   60.20	   73.68	    0.44	    2.59	    0.00	  18.734	  17.747	  18.207	  29.995	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
