  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      47	   0.002	  -9.995	  0.2673	0.088071	-0.11505	-0.07012	0.066758	  0.2673	-0.128587	-0.01891	-0.13695	 0.01947	0.066766	0.128587	0.267326	 0.00201	-0.14781	 0.01947	    4.32	    7.34	   15.77	    0.16	   -1.24	    1.56	  105.99	 1025.89	   14.80	   1.241	   247.3	   19.96	1.776E+5	   0.059
      48	   0.002	   2.000	  0.2320	0.058041	 0.06823	 0.04795	0.055617	  0.2320	0.070212	 0.01679	-0.01005	-0.03185	0.055624	-0.070212	0.231975	 0.00536	-0.01910	-0.03185	    3.71	   -4.04	   13.85	    0.43	   -0.03	   -2.56	  106.74	 1025.90	   14.79	   1.241	   249.0	   20.03	1.782E+5	   0.059
      49	   0.002	  -6.995	  0.2575	0.077978	-0.05692	-0.04104	0.070458	  0.2575	-0.065996	-0.00916	-0.10541	 0.00608	0.070466	0.065996	0.257488	 0.00158	-0.11688	 0.00608	    4.55	    3.78	   15.26	    0.13	   -0.96	    0.49	  106.36	 1025.91	   14.78	   1.241	   248.1	   20.00	1.779E+5	   0.059
      50	   0.002	  10.000	  0.2588	0.090517	 0.16798	-0.01094	0.059965	  0.2588	0.181145	 0.04629	-0.07564	-0.05600	0.059973	-0.181145	0.258788	 0.01681	-0.08540	-0.05600	    3.93	  -10.34	   15.27	    1.34	   -0.66	   -4.47	  105.91	 1025.91	   14.74	   1.241	   247.1	   19.95	1.776E+5	   0.059
      51	   0.002	   7.000	  0.2517	0.077092	 0.10274	 0.00264	0.063989	  0.2517	0.111372	 0.03558	-0.06028	-0.03993	0.063997	-0.111372	0.251658	 0.01746	-0.07069	-0.03993	    4.17	   -6.38	   14.93	    1.40	   -0.52	   -3.20	  106.36	 1025.92	   14.74	   1.241	   248.1	   19.99	1.779E+5	   0.059
      52	   0.002	  -1.995	  0.2350	0.058360	-0.01958	 0.03274	0.057636	  0.2350	-0.021601	 0.00714	-0.02601	-0.00128	0.057643	0.021601	0.235009	 0.01065	-0.03539	-0.00128	    3.82	    1.24	   14.00	    0.86	   -0.19	   -0.10	  106.58	 1025.91	   14.73	   1.241	   248.6	   20.01	1.781E+5	   0.059
      53	   0.002	   9.995	  0.2646	0.079487	 0.17220	-0.03360	0.048384	  0.2646	0.183387	 0.04590	-0.09975	-0.05832	0.048392	-0.183387	0.264630	 0.01606	-0.10763	-0.05832	    3.27	  -10.49	   15.64	    1.29	   -0.87	   -4.67	  106.12	 1025.92	   14.71	   1.242	   247.6	   19.97	1.778E+5	   0.059
      54	   0.002	  -6.995	  0.2613	0.066216	-0.05721	-0.05346	0.058748	  0.2613	-0.064853	-0.00865	-0.11879	 0.00399	0.058755	0.064853	0.261320	 0.00190	-0.12835	 0.00399	    3.88	    3.72	   15.50	    0.15	   -1.07	    0.32	  106.46	 1025.91	   14.69	   1.242	   248.4	   20.00	1.781E+5	   0.059
      55	   0.002	 -10.000	  0.2704	0.077215	-0.11737	-0.08481	0.055653	  0.2704	-0.128996	-0.01894	-0.15240	 0.01801	0.055661	0.128996	0.270358	 0.00205	-0.16145	 0.01801	    3.69	    7.37	   15.95	    0.16	   -1.37	    1.44	  106.02	 1025.91	   14.68	   1.242	   247.3	   19.96	1.777E+5	   0.059
      56	   0.002	   7.005	  0.2565	0.054252	 0.20047	 0.02237	0.029391	  0.2565	0.205585	 0.03089	-0.04176	-0.07038	0.029399	-0.205585	0.256513	-0.00256	-0.04654	-0.07038	    2.20	  -11.81	   15.25	   -0.21	   -0.29	   -5.66	  106.64	 1025.90	   14.68	   1.242	   248.8	   20.02	1.782E+5	   0.059
      57	   0.002	   2.000	  0.2374	0.046327	 0.06981	 0.02457	0.043855	  0.2374	0.071386	 0.01668	-0.03478	-0.03372	0.043862	-0.071386	0.237402	 0.00507	-0.04191	-0.03372	    3.04	   -4.11	   14.18	    0.41	   -0.25	   -2.72	  106.89	 1025.90	   14.68	   1.242	   249.4	   20.04	1.784E+5	   0.059
      58	   0.002	  -1.995	  0.2389	0.046057	-0.01830	 0.01833	0.045385	  0.2389	-0.019889	 0.00692	-0.04140	-0.00367	0.045392	0.019889	0.238920	 0.01016	-0.04878	-0.00367	    3.12	    1.14	   14.25	    0.82	   -0.31	   -0.30	  106.75	 1025.89	   14.66	   1.242	   249.0	   20.03	1.783E+5	   0.059
      59	   4.999	   6.995	  0.7247	0.060953	 0.18776	 0.01942	-0.025655	  0.7252	0.193788	 0.02296	-0.16188	-0.05799	0.037633	-0.193788	0.724666	-0.01374	-0.16800	-0.06022	   10.33	  -44.39	  168.81	   -4.41	   -5.94	  -19.31	  423.04	 1025.86	   15.23	   1.239	   991.6	   40.00	3.549E+5	   0.118
      60	   0.002	  -9.995	  0.2670	0.052327	-0.21868	-0.02358	0.013568	  0.2670	-0.224439	-0.01869	-0.09034	 0.04838	0.013578	0.224439	0.267038	 0.01782	-0.09255	 0.04838	    5.15	   51.54	   63.34	    5.73	   -2.91	   15.55	  424.09	 1025.85	   15.32	   1.239	   994.0	   40.06	3.552E+5	   0.118
      61	   0.002	  -2.005	  0.2263	0.038796	-0.01262	 0.02715	0.038322	  0.2263	-0.013969	 0.00264	-0.02941	-0.00256	0.038330	0.013969	0.226264	 0.00491	-0.03565	-0.00256	   10.79	    3.20	   53.79	    1.57	   -0.75	   -0.82	  422.63	 1025.84	   15.40	   1.239	   990.6	   40.00	3.545E+5	   0.117
