  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
      62	   4.999	  -7.000	  0.7365	0.057583	-0.13075	-0.00713	-0.023118	  0.7373	-0.136798	-0.01017	-0.19145	 0.02521	0.041219	0.136798	0.736470	 0.01434	-0.19815	 0.02619	   11.15	   31.33	  171.51	    4.60	   -7.08	    8.40	  423.03	 1025.82	   15.42	   1.238	   991.5	   40.02	3.546E+5	   0.118
      63	   0.001	   2.000	  0.2235	0.040168	 0.07485	 0.02754	0.037529	  0.2235	0.076208	 0.01328	-0.02834	-0.03208	0.037531	-0.076208	0.223505	 0.00088	-0.03444	-0.03208	   10.61	  -17.44	   53.17	    0.28	   -0.71	  -10.28	  422.71	 1025.81	   15.44	   1.238	   990.8	   40.00	3.545E+5	   0.117
      64	   0.001	  10.000	  0.2536	0.061537	 0.26902	 0.00241	0.013885	  0.2536	0.275619	 0.03605	-0.06100	-0.08122	0.013887	-0.275619	0.253624	-0.00879	-0.06326	-0.08122	    5.20	  -63.05	   60.04	   -2.82	   -1.79	  -26.01	  422.50	 1025.81	   15.54	   1.238	   990.3	   40.00	3.542E+5	   0.117
      65	   0.001	  -7.000	  0.2533	0.044863	-0.14994	-0.00480	0.026253	  0.2533	-0.154294	-0.00915	-0.06812	 0.03264	0.026255	0.154294	0.253262	 0.01595	-0.07239	 0.03264	    8.02	   35.27	   59.90	    5.10	   -2.14	   10.45	  422.15	 1025.80	   15.58	   1.238	   989.5	   39.99	3.540E+5	   0.117
      66	   0.001	   7.000	  0.2423	0.049226	 0.20922	 0.01683	0.023360	  0.2423	0.213656	 0.02590	-0.04374	-0.06866	0.023362	-0.213656	0.242260	-0.00886	-0.04754	-0.06866	    7.37	  -48.89	   57.45	   -2.84	   -1.20	  -22.00	  422.60	 1025.80	   15.62	   1.238	   990.5	   40.01	3.541E+5	   0.117
      67	   0.001	  -9.995	  0.2617	0.068750	-0.21750	-0.00286	0.029954	  0.2617	-0.226131	-0.01812	-0.06830	 0.05138	0.029957	0.226131	0.261741	 0.01867	-0.07317	 0.05138	    8.89	   51.80	   61.97	    5.99	   -2.17	   16.48	  423.04	 1025.81	   15.68	   1.237	   991.6	   40.04	3.542E+5	   0.118
      68	   0.001	   2.000	  0.2159	0.059420	 0.06879	 0.05526	0.056982	  0.2159	0.070817	 0.01350	 0.00129	-0.02827	0.056984	-0.070817	0.215877	 0.00198	-0.00798	-0.02827	   15.10	  -16.24	   51.54	    0.63	    0.29	   -9.08	  423.65	 1025.82	   15.75	   1.237	   993.0	   40.07	3.544E+5	   0.118
      69	   0.001	  -7.000	  0.2484	0.062197	-0.15072	 0.01709	0.043363	  0.2484	-0.157175	-0.00888	-0.04502	 0.03609	0.043365	0.157175	0.248431	 0.01670	-0.05208	 0.03609	   11.95	   35.98	   58.88	    5.35	   -1.37	   11.57	  422.74	 1025.82	   15.76	   1.237	   990.9	   40.03	3.540E+5	   0.117
      70	   0.001	  10.000	  0.2460	0.077755	 0.26350	 0.03001	0.030815	  0.2460	0.272996	 0.03643	-0.03150	-0.07827	0.030817	-0.272996	0.246036	-0.00799	-0.03652	-0.07827	    9.08	  -62.48	   58.32	   -2.56	   -0.79	  -25.08	  422.67	 1025.81	   15.82	   1.237	   990.7	   40.03	3.539E+5	   0.117
      71	   0.001	   7.000	  0.2327	0.067013	 0.20391	 0.04556	0.041662	  0.2327	0.210554	 0.02650	-0.01262	-0.06529	0.041664	-0.210554	0.232713	-0.00775	-0.01940	-0.06529	   11.56	  -48.20	   55.29	   -2.48	   -0.14	  -20.92	  422.75	 1025.80	   15.82	   1.237	   990.9	   40.03	3.539E+5	   0.117
      72	   0.001	  -1.995	  0.2196	0.058022	-0.01565	 0.04632	0.057440	  0.2196	-0.017662	 0.00282	-0.00857	 0.00111	0.057442	0.017662	0.219592	 0.00569	-0.01792	 0.00111	   15.18	    4.04	   52.30	    1.83	   -0.08	    0.36	  422.92	 1025.79	   15.84	   1.237	   991.3	   40.04	3.539E+5	   0.117
      73	   4.999	   6.995	  0.7121	0.062281	 0.18564	 0.05294	-0.022983	  0.7128	0.191842	 0.02371	-0.12525	-0.05268	0.039210	-0.191842	0.712056	-0.01222	-0.13163	-0.05496	   10.68	  -43.91	  165.78	   -3.91	   -4.56	  -17.61	  422.69	 1025.80	   15.82	   1.237	   990.7	   40.03	3.539E+5	   0.117
      74	   0.001	 -10.000	  0.2535	0.051773	-0.22165	 0.00944	0.012494	  0.2535	-0.227272	-0.01939	-0.05394	 0.05383	0.012498	0.227272	0.253505	 0.01759	-0.05597	 0.05383	    4.88	   51.95	   59.97	    5.63	   -1.52	   17.23	  422.20	 1025.83	   15.80	   1.237	   989.6	   40.00	3.537E+5	   0.117
      75	   0.001	  -2.000	  0.2139	0.038719	-0.01653	 0.05664	0.038115	  0.2139	-0.017875	 0.00186	 0.00318	 0.00359	0.038118	0.017875	0.213863	 0.00477	-0.00303	 0.00359	   10.74	    4.09	   50.93	    1.53	    0.48	    1.15	  422.37	 1025.83	   15.88	   1.236	   990.0	   40.02	3.536E+5	   0.117
      76	   4.999	  -7.000	  0.7199	0.055953	-0.13131	 0.02895	-0.023350	  0.7206	-0.137147	-0.01072	-0.15120	 0.03037	0.039534	0.137147	0.719905	 0.01430	-0.15764	 0.03142	   10.72	   31.29	  167.03	    4.57	   -5.53	   10.03	  421.32	 1025.83	   15.88	   1.236	   987.5	   39.97	3.532E+5	   0.117
      77	   0.001	   2.000	  0.2104	0.040355	 0.06944	 0.05773	0.037905	  0.2104	0.070802	 0.01287	 0.00513	-0.02547	0.037907	-0.070802	0.210403	 0.00135	-0.00104	-0.02547	   10.70	  -16.20	   50.17	    0.43	    0.55	   -8.16	  422.64	 1025.81	   15.84	   1.237	   990.6	   40.03	3.538E+5	   0.117
      78	   0.001	  10.000	  0.2416	0.061108	 0.26691	 0.03248	0.013828	  0.2416	0.273469	 0.03617	-0.02792	-0.07609	0.013830	-0.273469	0.241622	-0.00833	-0.03017	-0.07609	    5.18	  -62.50	   57.24	   -2.66	   -0.55	  -24.34	  422.10	 1025.81	   15.92	   1.236	   989.3	   40.01	3.535E+5	   0.117
      79	   0.001	  -7.000	  0.2400	0.044105	-0.15343	 0.02779	0.025075	  0.2400	-0.157662	-0.01021	-0.03220	 0.03854	0.025077	0.157662	0.239995	 0.01544	-0.03628	 0.03854	    7.75	   36.04	   56.87	    4.94	   -0.78	   12.33	  422.14	 1025.78	   15.98	   1.236	   989.4	   40.01	3.534E+5	   0.117
      80	   0.001	   7.000	  0.2292	0.049351	 0.20567	 0.04836	0.023916	  0.2292	0.210150	 0.02593	-0.00895	-0.06287	0.023918	-0.210150	0.229245	-0.00826	-0.01284	-0.06287	    7.49	  -48.04	   54.42	   -2.64	    0.11	  -20.12	  422.18	 1025.77	   16.02	   1.236	   989.5	   40.02	3.533E+5	   0.117
      81	   4.999	   7.000	  0.7237	0.043942	 0.18926	 0.01974	-0.042594	  0.7227	0.193208	 0.02253	-0.16094	-0.05560	0.020549	-0.193208	0.723711	-0.01388	-0.16429	-0.05779	    6.40	  -44.10	  168.02	   -4.44	   -5.78	  -18.47	  421.62	 1025.74	   16.02	   1.236	   988.2	   39.99	3.531E+5	   0.117
      82	   0.002	  -9.995	  0.2582	0.035057	-0.22288	-0.01199	-0.004169	  0.2582	-0.225585	-0.01990	-0.07653	 0.05078	-0.004159	0.225585	0.258160	 0.01681	-0.07585	 0.05079	    1.07	   51.47	   60.91	    5.37	   -2.26	   16.22	  421.40	 1025.72	   16.02	   1.236	   987.7	   39.98	3.530E+5	   0.117
      83	   0.002	  -2.000	  0.2193	0.019517	-0.01573	 0.03464	0.018947	  0.2193	-0.016405	 0.00159	-0.02019	-0.00010	0.018956	0.016405	0.219332	 0.00426	-0.02327	-0.00010	    6.35	    3.75	   52.09	    1.36	   -0.28	   -0.03	  421.65	 1025.71	   16.05	   1.236	   988.3	   40.00	3.531E+5	   0.117
      84	   4.999	  -7.000	  0.7285	0.039063	-0.13124	 0.00486	-0.040796	  0.7278	-0.135022	-0.01133	-0.17708	 0.02754	0.022778	0.135022	0.728547	 0.01310	-0.18079	 0.02863	    6.91	   30.83	  169.17	    4.19	   -6.40	    9.15	  421.73	 1025.71	   16.02	   1.236	   988.5	   40.00	3.531E+5	   0.117
      85	   0.002	   2.000	  0.2185	0.020767	 0.07777	 0.03035	0.018033	  0.2185	0.078443	 0.01283	-0.02429	-0.02944	0.018041	-0.078443	0.218548	 0.00007	-0.02722	-0.02944	    6.13	  -17.90	   51.89	    0.02	   -0.43	   -9.40	  421.49	 1025.73	   16.05	   1.236	   987.9	   39.99	3.530E+5	   0.117
      86	   0.002	  10.000	  0.2492	0.044976	 0.27260	 0.00531	-0.003053	  0.2492	0.276271	 0.03573	-0.05700	-0.07911	-0.003044	-0.276271	0.249224	-0.00923	-0.05650	-0.07911	    1.32	  -63.15	   58.98	   -2.95	   -1.54	  -25.31	  422.15	 1025.72	   16.12	   1.235	   989.5	   40.03	3.532E+5	   0.117
      87	   0.002	  -7.000	  0.2455	0.026626	-0.15370	 0.00770	0.007688	  0.2455	-0.155797	-0.01014	-0.05367	 0.03482	0.007697	0.155797	0.245492	 0.01521	-0.05493	 0.03482	    3.78	   35.60	   58.11	    4.86	   -1.48	   11.14	  422.05	 1025.71	   16.14	   1.235	   989.2	   40.02	3.531E+5	   0.117
      88	   0.002	   7.000	  0.2384	0.031779	 0.21051	 0.01853	0.005878	  0.2384	0.212818	 0.02552	-0.04107	-0.06611	0.005887	-0.212818	0.238383	-0.00911	-0.04202	-0.06611	    3.37	  -48.70	   56.57	   -2.92	   -0.99	  -21.18	  422.63	 1025.71	   16.16	   1.235	   990.6	   40.05	3.533E+5	   0.117
      89	   0.002	   7.000	  0.2422	0.051808	 0.21171	 0.01950	0.025612	  0.2422	0.216448	 0.02677	-0.04105	-0.07033	0.025620	-0.216448	0.242170	-0.00845	-0.04522	-0.07034	    4.44	  -27.87	   32.32	   -1.52	   -0.63	  -12.68	  238.60	 1025.71	   15.97	   1.236	   557.4	   30.03	2.653E+5	   0.088
      90	   0.002	   2.000	  0.2221	0.043906	 0.07245	 0.02678	0.041342	  0.2221	0.073942	 0.01418	-0.02875	-0.03248	0.041350	-0.073942	0.222105	 0.00215	-0.03547	-0.03248	    6.45	   -9.50	   29.68	    0.39	   -0.42	   -5.84	  238.15	 1025.71	   15.87	   1.236	   556.4	   30.00	2.651E+5	   0.088
      91	   0.002	  10.000	  0.2511	0.062351	 0.28650	 0.01339	0.011645	  0.2511	0.292974	 0.03653	-0.04938	-0.08765	0.011654	-0.292974	0.251057	-0.01114	-0.05127	-0.08765	    2.64	  -37.76	   33.49	   -2.01	   -0.76	  -15.81	  238.81	 1025.72	   15.82	   1.237	   557.9	   30.04	2.655E+5	   0.088
      92	   0.002	   7.000	  0.2428	0.051950	 0.21139	 0.01730	0.025792	  0.2428	0.216146	 0.02682	-0.04340	-0.07019	0.025800	-0.216146	0.242779	-0.00835	-0.04760	-0.07019	    4.46	  -27.85	   32.42	   -1.51	   -0.68	  -12.66	  238.72	 1025.72	   15.79	   1.237	   557.7	   30.03	2.655E+5	   0.088
